,DateTime,"Wind Speed, m/s","Gust Speed, m/s",Wind Direction
57745,2010-10-01 00:00:00,0.19,0.74,175.5
57746,2010-10-01 00:05:00,0.37,0.74,21.1
57747,2010-10-01 00:10:00,0.56,1.11,29.5
57748,2010-10-01 00:15:00,0.93,1.3,346.8
57749,2010-10-01 00:20:00,0.93,2.04,355.2
57750,2010-10-01 00:25:00,0.93,1.86,345.4
57751,2010-10-01 00:30:00,0.56,1.3,11.2
57752,2010-10-01 00:35:00,0.37,0.93,355.2
57753,2010-10-01 00:40:00,0.74,1.11,12.6
57754,2010-10-01 00:45:00,0.19,1.11,15.4
57755,2010-10-01 00:50:00,0.37,0.74,14.0
57756,2010-10-01 00:55:00,0.74,1.3,23.9
57757,2010-10-01 01:00:00,0.74,1.67,12.6
57758,2010-10-01 01:05:00,0.37,1.11,14.0
57759,2010-10-01 01:10:00,0.19,0.93,0.0
57760,2010-10-01 01:15:00,0.0,0.0,355.2
57761,2010-10-01 01:20:00,0.0,0.0,355.2
57762,2010-10-01 01:25:00,0.37,0.93,0.0
57763,2010-10-01 01:30:00,0.56,0.93,355.2
57764,2010-10-01 01:35:00,0.0,0.37,355.2
57765,2010-10-01 01:40:00,0.0,0.19,355.2
57766,2010-10-01 01:45:00,0.0,0.0,355.2
57767,2010-10-01 01:50:00,0.37,0.93,1.4
57768,2010-10-01 01:55:00,1.3,1.86,8.4
57769,2010-10-01 02:00:00,1.86,2.6,1.4
57770,2010-10-01 02:05:00,2.04,3.9,355.2
57771,2010-10-01 02:10:00,2.23,3.34,0.0
57772,2010-10-01 02:15:00,1.48,2.6,2.8
57773,2010-10-01 02:20:00,1.48,2.04,355.2
57774,2010-10-01 02:25:00,1.3,2.04,2.8
57775,2010-10-01 02:30:00,0.37,1.11,355.2
57776,2010-10-01 02:35:00,0.37,0.93,353.8
57777,2010-10-01 02:40:00,0.19,0.74,30.9
57778,2010-10-01 02:45:00,0.56,0.74,36.5
57779,2010-10-01 02:50:00,0.37,0.93,54.8
57780,2010-10-01 02:55:00,0.19,0.74,46.3
57781,2010-10-01 03:00:00,0.0,0.56,47.7
57782,2010-10-01 03:05:00,0.74,1.11,103.9
57783,2010-10-01 03:10:00,1.11,1.48,101.1
57784,2010-10-01 03:15:00,0.93,1.67,71.6
57785,2010-10-01 03:20:00,0.56,0.93,30.9
57786,2010-10-01 03:25:00,0.37,0.93,44.9
57787,2010-10-01 03:30:00,0.19,0.93,88.4
57788,2010-10-01 03:35:00,0.0,0.56,91.3
57789,2010-10-01 03:40:00,0.37,1.3,49.1
57790,2010-10-01 03:45:00,0.56,1.11,322.9
57791,2010-10-01 03:50:00,0.0,0.37,320.1
57792,2010-10-01 03:55:00,0.56,1.11,150.2
57793,2010-10-01 04:00:00,0.19,1.11,144.6
57794,2010-10-01 04:05:00,0.19,0.56,144.6
57795,2010-10-01 04:10:00,0.0,0.0,144.6
57796,2010-10-01 04:15:00,0.19,1.11,172.7
57797,2010-10-01 04:20:00,0.56,1.3,245.7
57798,2010-10-01 04:25:00,0.37,1.11,227.4
57799,2010-10-01 04:30:00,0.19,0.93,214.8
57800,2010-10-01 04:35:00,0.0,0.56,224.6
57801,2010-10-01 04:40:00,0.0,0.0,224.6
57802,2010-10-01 04:45:00,0.0,0.74,224.6
57803,2010-10-01 04:50:00,0.56,0.93,155.8
57804,2010-10-01 04:55:00,0.93,1.48,151.6
57805,2010-10-01 05:00:00,0.19,0.74,162.9
57806,2010-10-01 05:05:00,0.0,0.37,162.9
57807,2010-10-01 05:10:00,0.0,0.0,162.9
57808,2010-10-01 05:15:00,0.0,0.0,162.9
57809,2010-10-01 05:20:00,0.0,0.0,162.9
57810,2010-10-01 05:25:00,0.0,0.0,162.9
57811,2010-10-01 05:30:00,0.0,0.0,162.9
57812,2010-10-01 05:35:00,0.19,0.74,263.9
57813,2010-10-01 05:40:00,0.74,1.3,300.4
57814,2010-10-01 05:45:00,0.37,0.93,306.1
57815,2010-10-01 05:50:00,0.19,0.74,287.8
57816,2010-10-01 05:55:00,0.19,0.74,287.8
57817,2010-10-01 06:00:00,0.19,0.56,283.6
57818,2010-10-01 06:05:00,0.19,0.74,273.8
57819,2010-10-01 06:10:00,0.0,0.0,266.7
57820,2010-10-01 06:15:00,0.0,0.0,266.7
57821,2010-10-01 06:20:00,0.0,0.0,266.7
57822,2010-10-01 06:25:00,0.0,0.0,266.7
57823,2010-10-01 06:30:00,0.0,0.0,266.7
57824,2010-10-01 06:35:00,0.19,0.93,280.8
57825,2010-10-01 06:40:00,0.0,0.56,293.4
57826,2010-10-01 06:45:00,0.0,0.0,293.4
57827,2010-10-01 06:50:00,0.0,0.0,293.4
57828,2010-10-01 06:55:00,0.0,0.56,244.3
57829,2010-10-01 07:00:00,0.0,0.0,174.1
57830,2010-10-01 07:05:00,0.0,0.0,174.1
57831,2010-10-01 07:10:00,0.19,0.93,127.8
57832,2010-10-01 07:15:00,0.37,1.11,71.6
57833,2010-10-01 07:20:00,0.56,1.3,105.3
57834,2010-10-01 07:25:00,0.93,1.3,134.8
57835,2010-10-01 07:30:00,1.3,2.04,129.2
57836,2010-10-01 07:35:00,1.11,2.04,122.1
57837,2010-10-01 07:40:00,1.3,2.23,122.1
57838,2010-10-01 07:45:00,1.3,2.04,143.2
57839,2010-10-01 07:50:00,1.86,2.41,120.7
57840,2010-10-01 07:55:00,1.67,2.6,130.6
57841,2010-10-01 08:00:00,2.04,3.15,116.5
57842,2010-10-01 08:05:00,1.67,2.97,139.0
57843,2010-10-01 08:10:00,0.93,1.48,105.3
57844,2010-10-01 08:15:00,0.93,1.67,112.3
57845,2010-10-01 08:20:00,0.56,1.3,87.0
57846,2010-10-01 08:25:00,0.74,1.3,56.2
57847,2010-10-01 08:30:00,0.56,1.3,95.5
57848,2010-10-01 08:35:00,0.0,0.0,91.3
57849,2010-10-01 08:40:00,0.0,0.37,82.8
57850,2010-10-01 08:45:00,0.37,0.74,151.6
57851,2010-10-01 08:50:00,0.74,1.11,127.8
57852,2010-10-01 08:55:00,0.74,1.3,124.9
57853,2010-10-01 09:00:00,0.74,1.86,112.3
57854,2010-10-01 09:05:00,0.56,1.11,101.1
57855,2010-10-01 09:10:00,1.48,2.41,18.3
57856,2010-10-01 09:15:00,0.93,1.67,355.2
57857,2010-10-01 09:20:00,0.93,2.23,272.4
57858,2010-10-01 09:25:00,1.48,2.97,130.6
57859,2010-10-01 09:30:00,0.93,1.67,123.5
57860,2010-10-01 09:35:00,0.19,1.3,44.9
57861,2010-10-01 09:40:00,0.56,1.3,328.5
57862,2010-10-01 09:45:00,0.74,1.48,320.1
57863,2010-10-01 09:50:00,0.74,2.04,303.2
57864,2010-10-01 09:55:00,0.93,2.04,304.7
57865,2010-10-01 10:00:00,0.37,1.67,303.2
57866,2010-10-01 10:05:00,1.11,1.67,297.6
57867,2010-10-01 10:10:00,1.11,2.41,310.3
57868,2010-10-01 10:15:00,0.93,2.04,306.1
57869,2010-10-01 10:20:00,1.11,2.04,300.4
57870,2010-10-01 10:25:00,1.3,2.78,292.0
57871,2010-10-01 10:30:00,1.48,2.97,324.3
57872,2010-10-01 10:35:00,1.86,3.53,345.4
57873,2010-10-01 10:40:00,1.48,2.97,348.2
57874,2010-10-01 10:45:00,1.48,3.15,352.4
57875,2010-10-01 10:50:00,1.86,3.9,342.6
57876,2010-10-01 10:55:00,1.48,2.6,322.9
57877,2010-10-01 11:00:00,0.93,2.78,306.1
57878,2010-10-01 11:05:00,0.74,2.04,348.2
57879,2010-10-01 11:10:00,1.67,2.6,341.2
57880,2010-10-01 11:15:00,0.93,2.41,331.3
57881,2010-10-01 11:20:00,0.37,1.3,355.2
57882,2010-10-01 11:25:00,0.56,1.11,22.5
57883,2010-10-01 11:30:00,0.56,1.48,30.9
57884,2010-10-01 11:35:00,0.74,1.67,21.1
57885,2010-10-01 11:40:00,0.93,2.23,40.7
57886,2010-10-01 11:45:00,1.11,2.04,43.5
57887,2010-10-01 11:50:00,0.19,0.93,43.5
57888,2010-10-01 11:55:00,0.56,1.11,14.0
57889,2010-10-01 12:00:00,0.56,1.48,66.0
57890,2010-10-01 12:05:00,0.74,1.67,117.9
57891,2010-10-01 12:10:00,0.56,1.67,124.9
57892,2010-10-01 12:15:00,0.19,0.93,148.8
57893,2010-10-01 12:20:00,0.0,0.56,181.1
57894,2010-10-01 12:25:00,0.19,1.11,188.1
57895,2010-10-01 12:30:00,0.37,1.3,176.9
57896,2010-10-01 12:35:00,0.37,0.93,172.7
57897,2010-10-01 12:40:00,0.0,0.37,181.1
57898,2010-10-01 12:45:00,0.56,1.3,175.5
57899,2010-10-01 12:50:00,0.74,1.67,167.1
57900,2010-10-01 12:55:00,0.37,1.11,167.1
57901,2010-10-01 13:00:00,0.0,0.56,248.5
57902,2010-10-01 13:05:00,0.0,0.56,147.4
57903,2010-10-01 13:10:00,0.0,0.74,345.4
57904,2010-10-01 13:15:00,0.37,1.11,88.4
57905,2010-10-01 13:20:00,0.56,1.3,141.8
57906,2010-10-01 13:25:00,0.19,0.93,167.1
57907,2010-10-01 13:30:00,0.37,0.93,168.5
57908,2010-10-01 13:35:00,0.19,0.74,203.6
57909,2010-10-01 13:40:00,0.37,1.3,198.0
57910,2010-10-01 13:45:00,0.19,0.93,190.9
57911,2010-10-01 13:50:00,0.19,0.93,269.6
57912,2010-10-01 13:55:00,0.37,1.3,227.4
57913,2010-10-01 14:00:00,0.37,1.3,169.9
57914,2010-10-01 14:05:00,0.19,0.74,195.1
57915,2010-10-01 14:10:00,0.74,1.67,165.7
57916,2010-10-01 14:15:00,0.74,1.86,139.0
57917,2010-10-01 14:20:00,1.3,2.23,129.2
57918,2010-10-01 14:25:00,1.67,2.6,123.5
57919,2010-10-01 14:30:00,0.93,1.48,92.7
57920,2010-10-01 14:35:00,1.11,1.67,113.7
57921,2010-10-01 14:40:00,1.3,1.86,95.5
57922,2010-10-01 14:45:00,0.74,1.86,101.1
57923,2010-10-01 14:50:00,0.74,1.48,150.2
57924,2010-10-01 14:55:00,1.3,2.23,109.5
57925,2010-10-01 15:00:00,1.48,2.78,99.7
57926,2010-10-01 15:05:00,1.3,2.78,98.3
57927,2010-10-01 15:10:00,0.93,1.67,101.1
57928,2010-10-01 15:15:00,1.11,2.04,108.1
57929,2010-10-01 15:20:00,1.3,2.41,123.5
57930,2010-10-01 15:25:00,1.11,2.04,119.3
57931,2010-10-01 15:30:00,1.3,2.04,123.5
57932,2010-10-01 15:35:00,1.11,1.86,133.4
57933,2010-10-01 15:40:00,1.48,2.04,150.2
57934,2010-10-01 15:45:00,0.56,1.67,148.8
57935,2010-10-01 15:50:00,0.19,0.74,190.9
57936,2010-10-01 15:55:00,0.19,0.74,189.5
57937,2010-10-01 16:00:00,0.74,1.11,127.8
57938,2010-10-01 16:05:00,0.56,1.3,158.6
57939,2010-10-01 16:10:00,0.93,1.3,109.5
57940,2010-10-01 16:15:00,0.56,0.93,103.9
57941,2010-10-01 16:20:00,0.0,0.56,150.2
57942,2010-10-01 16:25:00,0.74,1.67,220.4
57943,2010-10-01 16:30:00,0.19,1.11,193.7
57944,2010-10-01 16:35:00,0.74,1.11,328.5
57945,2010-10-01 16:40:00,0.56,1.48,57.6
57946,2010-10-01 16:45:00,1.11,2.41,66.0
57947,2010-10-01 16:50:00,1.11,3.15,11.2
57948,2010-10-01 16:55:00,2.6,3.9,136.2
57949,2010-10-01 17:00:00,0.93,2.78,189.5
57950,2010-10-01 17:05:00,0.93,1.86,176.9
57951,2010-10-01 17:10:00,1.3,2.04,115.1
57952,2010-10-01 17:15:00,1.48,2.6,130.6
57953,2010-10-01 17:20:00,1.86,2.6,123.5
57954,2010-10-01 17:25:00,1.11,2.41,136.2
57955,2010-10-01 17:30:00,1.3,2.23,136.2
57956,2010-10-01 17:35:00,1.11,1.67,96.9
57957,2010-10-01 17:40:00,0.74,3.34,39.3
57958,2010-10-01 17:45:00,2.23,4.08,7.0
57959,2010-10-01 17:50:00,3.15,6.12,11.2
57960,2010-10-01 17:55:00,2.6,4.82,30.9
57961,2010-10-01 18:00:00,1.48,2.6,59.0
57962,2010-10-01 18:05:00,1.3,2.6,46.3
57963,2010-10-01 18:10:00,0.74,1.67,33.7
57964,2010-10-01 18:15:00,0.37,1.3,63.2
57965,2010-10-01 18:20:00,0.37,0.74,103.9
57966,2010-10-01 18:25:00,0.0,0.74,129.2
57967,2010-10-01 18:30:00,0.0,0.0,129.2
57968,2010-10-01 18:35:00,0.19,0.74,132.0
57969,2010-10-01 18:40:00,0.74,1.48,150.2
57970,2010-10-01 18:45:00,1.11,2.23,117.9
57971,2010-10-01 18:50:00,1.67,3.53,112.3
57972,2010-10-01 18:55:00,2.41,4.08,137.6
57973,2010-10-01 19:00:00,2.41,3.71,148.8
57974,2010-10-01 19:05:00,2.41,3.71,143.2
57975,2010-10-01 19:10:00,2.04,3.34,150.2
57976,2010-10-01 19:15:00,1.86,2.97,155.8
57977,2010-10-01 19:20:00,0.74,1.48,150.2
57978,2010-10-01 19:25:00,0.19,1.3,140.4
57979,2010-10-01 19:30:00,0.0,0.0,141.8
57980,2010-10-01 19:35:00,0.37,1.11,189.5
57981,2010-10-01 19:40:00,1.3,1.86,154.4
57982,2010-10-01 19:45:00,0.74,1.67,158.6
57983,2010-10-01 19:50:00,0.93,1.67,126.4
57984,2010-10-01 19:55:00,1.11,1.67,106.7
57985,2010-10-01 20:00:00,0.37,1.11,109.5
57986,2010-10-01 20:05:00,0.74,1.67,77.2
57987,2010-10-01 20:10:00,0.74,1.3,30.9
57988,2010-10-01 20:15:00,0.56,1.48,155.8
57989,2010-10-01 20:20:00,1.11,1.67,141.8
57990,2010-10-01 20:25:00,0.74,2.23,143.2
57991,2010-10-01 20:30:00,0.74,2.04,124.9
57992,2010-10-01 20:35:00,0.56,1.3,64.6
57993,2010-10-01 20:40:00,1.11,1.86,66.0
57994,2010-10-01 20:45:00,0.56,1.3,98.3
57995,2010-10-01 20:50:00,0.37,1.3,92.7
57996,2010-10-01 20:55:00,0.37,1.3,42.1
57997,2010-10-01 21:00:00,0.19,1.3,54.8
57998,2010-10-01 21:05:00,0.74,1.86,110.9
57999,2010-10-01 21:10:00,1.67,2.78,140.4
58000,2010-10-01 21:15:00,2.04,2.78,148.8
58001,2010-10-01 21:20:00,1.86,2.78,146.0
58002,2010-10-01 21:25:00,1.3,2.41,151.6
58003,2010-10-01 21:30:00,1.67,3.71,154.4
58004,2010-10-01 21:35:00,1.86,2.97,147.4
58005,2010-10-01 21:40:00,2.23,4.08,141.8
58006,2010-10-01 21:45:00,2.78,5.01,129.2
58007,2010-10-01 21:50:00,1.67,3.15,102.5
58008,2010-10-01 21:55:00,1.11,2.23,101.1
58009,2010-10-01 22:00:00,1.11,2.6,115.1
58010,2010-10-01 22:05:00,1.48,3.34,139.0
58011,2010-10-01 22:10:00,1.3,2.04,115.1
58012,2010-10-01 22:15:00,1.3,2.04,115.1
58013,2010-10-01 22:20:00,1.3,2.41,109.5
58014,2010-10-01 22:25:00,1.11,1.67,105.3
58015,2010-10-01 22:30:00,0.93,1.67,105.3
58016,2010-10-01 22:35:00,0.74,1.67,89.9
58017,2010-10-01 22:40:00,0.0,0.37,81.4
58018,2010-10-01 22:45:00,0.74,1.48,98.3
58019,2010-10-01 22:50:00,1.3,2.04,126.4
58020,2010-10-01 22:55:00,1.3,2.6,119.3
58021,2010-10-01 23:00:00,1.3,2.23,117.9
58022,2010-10-01 23:05:00,1.48,2.78,124.9
58023,2010-10-01 23:10:00,1.11,2.41,130.6
58024,2010-10-01 23:15:00,1.3,2.6,113.7
58025,2010-10-01 23:20:00,0.74,1.86,126.4
58026,2010-10-01 23:25:00,0.93,1.86,129.2
58027,2010-10-01 23:30:00,1.67,2.6,132.0
58028,2010-10-01 23:35:00,1.86,3.15,137.6
58029,2010-10-01 23:40:00,2.04,3.15,129.2
58030,2010-10-01 23:45:00,2.23,4.08,137.6
58031,2010-10-01 23:50:00,3.53,5.94,147.4
58032,2010-10-01 23:55:00,3.53,6.49,151.6
58033,2010-10-02 00:00:00,4.27,7.05,146.0
58034,2010-10-02 00:05:00,2.78,5.75,150.2
58035,2010-10-02 00:10:00,3.53,5.57,148.8
58036,2010-10-02 00:15:00,3.71,6.86,148.8
58037,2010-10-02 00:20:00,3.34,5.2,160.0
58038,2010-10-02 00:25:00,4.08,7.42,153.0
58039,2010-10-02 00:30:00,3.34,5.01,155.8
58040,2010-10-02 00:35:00,3.34,4.82,160.0
58041,2010-10-02 00:40:00,2.97,5.01,157.2
58042,2010-10-02 00:45:00,3.71,6.12,164.3
58043,2010-10-02 00:50:00,3.53,6.31,161.5
58044,2010-10-02 00:55:00,3.34,5.94,155.8
58045,2010-10-02 01:00:00,2.97,5.57,157.2
58046,2010-10-02 01:05:00,2.97,5.38,162.9
58047,2010-10-02 01:10:00,2.04,4.64,171.3
58048,2010-10-02 01:15:00,1.48,2.23,167.1
58049,2010-10-02 01:20:00,1.3,2.78,158.6
58050,2010-10-02 01:25:00,1.67,2.97,133.4
58051,2010-10-02 01:30:00,1.48,2.23,136.2
58052,2010-10-02 01:35:00,1.67,2.78,140.4
58053,2010-10-02 01:40:00,1.48,3.15,132.0
58054,2010-10-02 01:45:00,1.67,2.6,119.3
58055,2010-10-02 01:50:00,3.15,5.01,133.4
58056,2010-10-02 01:55:00,3.34,5.2,134.8
58057,2010-10-02 02:00:00,2.41,3.9,144.6
58058,2010-10-02 02:05:00,2.97,5.2,139.0
58059,2010-10-02 02:10:00,2.41,4.08,137.6
58060,2010-10-02 02:15:00,2.41,3.9,136.2
58061,2010-10-02 02:20:00,2.04,4.08,139.0
58062,2010-10-02 02:25:00,2.78,4.45,136.2
58063,2010-10-02 02:30:00,2.23,3.9,139.0
58064,2010-10-02 02:35:00,2.23,3.9,139.0
58065,2010-10-02 02:40:00,2.04,4.45,132.0
58066,2010-10-02 02:45:00,1.67,3.71,127.8
58067,2010-10-02 02:50:00,1.67,3.71,129.2
58068,2010-10-02 02:55:00,1.86,3.34,136.2
58069,2010-10-02 03:00:00,1.86,3.34,136.2
58070,2010-10-02 03:05:00,1.86,2.97,140.4
58071,2010-10-02 03:10:00,2.23,3.9,146.0
58072,2010-10-02 03:15:00,1.86,3.34,144.6
58073,2010-10-02 03:20:00,1.67,2.78,140.4
58074,2010-10-02 03:25:00,1.3,2.41,130.6
58075,2010-10-02 03:30:00,0.93,1.86,134.8
58076,2010-10-02 03:35:00,0.56,1.48,117.9
58077,2010-10-02 03:40:00,0.74,1.3,75.8
58078,2010-10-02 03:45:00,0.93,1.67,70.2
58079,2010-10-02 03:50:00,0.56,1.67,94.1
58080,2010-10-02 03:55:00,0.56,1.11,122.1
58081,2010-10-02 04:00:00,0.93,1.67,141.8
58082,2010-10-02 04:05:00,1.11,1.86,164.3
58083,2010-10-02 04:10:00,0.93,1.48,164.3
58084,2010-10-02 04:15:00,0.93,1.67,172.7
58085,2010-10-02 04:20:00,0.93,1.67,162.9
58086,2010-10-02 04:25:00,0.93,1.86,171.3
58087,2010-10-02 04:30:00,0.56,1.11,169.9
58088,2010-10-02 04:35:00,0.74,2.23,148.8
58089,2010-10-02 04:40:00,1.3,2.41,146.0
58090,2010-10-02 04:45:00,1.67,2.6,127.8
58091,2010-10-02 04:50:00,1.3,2.04,116.5
58092,2010-10-02 04:55:00,1.11,2.04,110.9
58093,2010-10-02 05:00:00,1.11,1.67,105.3
58094,2010-10-02 05:05:00,1.11,1.86,116.5
58095,2010-10-02 05:10:00,1.48,2.41,116.5
58096,2010-10-02 05:15:00,1.67,2.6,123.5
58097,2010-10-02 05:20:00,1.67,2.78,117.9
58098,2010-10-02 05:25:00,2.04,2.78,122.1
58099,2010-10-02 05:30:00,2.41,3.53,117.9
58100,2010-10-02 05:35:00,2.41,3.71,108.1
58101,2010-10-02 05:40:00,2.41,4.45,117.9
58102,2010-10-02 05:45:00,2.04,3.9,115.1
58103,2010-10-02 05:50:00,1.67,3.53,116.5
58104,2010-10-02 05:55:00,2.04,3.15,113.7
58105,2010-10-02 06:00:00,2.04,3.15,110.9
58106,2010-10-02 06:05:00,2.41,4.27,110.9
58107,2010-10-02 06:10:00,2.41,3.34,108.1
58108,2010-10-02 06:15:00,2.23,3.9,117.9
58109,2010-10-02 06:20:00,2.04,2.97,109.5
58110,2010-10-02 06:25:00,2.23,3.15,115.1
